Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
2020-09-30,1460.93994140625,1486.199951171875,1455.760009765625,1465.5999755859375,1465.5999755859375,2046200.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,,,,,,,,,,,,,,,,
2020-10-01,1483.6600341796875,1495.0699462890625,1476.800048828125,1487.9000244140625,1487.9000244140625,1644200.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,589369.0,3465.0,162.0,170.0,394.0,1.0,19.0,22.0,0.0,5.0,10.0,0.0,0.0,47.0,0.0,0.0
2020-10-02,1459.6300048828125,1479.030029296875,1447.3499755859375,1455.5999755859375,1455.5999755859375,1561100.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,506082.0,1667.0,121.0,50.0,98.0,3.0,20.0,28.0,0.0,3.0,4.0,0.0,0.0,23.0,2.0,0.0
2020-10-05,1462.6500244140625,1484.699951171875,1460.0899658203125,1482.8299560546875,1482.8299560546875,1080100.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,489872.0,1747.0,122.0,96.0,133.0,0.0,8.0,17.0,0.0,7.0,3.0,1.0,0.0,26.0,3.0,0.0
2020-10-06,1475.5,1484.52001953125,1445.010009765625,1451.02001953125,1451.02001953125,1304800.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,550713.0,2054.0,102.0,81.0,107.0,0.0,9.0,15.0,0.0,0.0,19.0,0.0,0.0,40.0,3.0,0.0
2020-10-07,1459.31005859375,1468.969970703125,1433.22998046875,1459.1400146484375,1459.1400146484375,1805400.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,573739.0,2224.0,103.0,60.0,61.0,1.0,45.0,48.0,0.0,2.0,17.0,0.0,0.0,57.0,4.0,0.0
2020-10-08,1465.449951171875,1488.030029296875,1465.449951171875,1483.4300537109375,1483.4300537109375,1303800.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,565295.0,2178.0,69.0,120.0,59.0,1.0,26.0,34.0,0.0,1.0,9.0,2.0,0.0,71.0,1.0,0.0
2020-10-09,1492.8599853515625,1511.8499755859375,1487.0,1510.449951171875,1510.449951171875,1648300.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,527671.0,1728.0,98.0,36.0,128.0,0.0,21.0,24.0,0.0,0.0,17.0,1.0,0.0,53.0,7.0,0.0
2020-10-12,1538.0,1588.4200439453125,1529.300048828125,1564.5899658203125,1564.5899658203125,2767200.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,452574.0,1261.0,84.0,41.0,63.0,1.0,29.0,30.0,0.0,1.0,20.0,0.0,0.0,15.0,1.0,0.0
2020-10-13,1577.010009765625,1585.1600341796875,1558.6300048828125,1567.0699462890625,1567.0699462890625,1953600.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,544121.0,1279.0,135.0,63.0,37.0,0.0,56.0,58.0,0.0,2.0,8.0,3.0,0.0,22.0,1.0,0.0
